,review,rating,date,country
1164,"✅ Verified Review |  Zurich to Muscat via Dubai. From smooth check-in in Zurich through to transit in Dubai and a short connecting flight to Muscat, where we were served a snack and coffee / tea on a 35 minute flight, everything was perfect. The meal from Zurich to Dubai was delicious. I had ordered beef and it was tender and tasty. The cabin crew on both flights were very friendly, attentive and helpful. My seat on the A380 was very comfortable and inflight entertainment kept me entertained. On the flight from Dubai to Muscat I was seated at the aisle and even though the Boeing 777-300 has a 3-4-3 seating it did not feel crammed for me. Overall, a fantastic experience.",1,1st February 2017,Switzerland
1165,"✅ Verified Review |  Brisbane to Auckland return with Emirates in business class. From check-in, the flight crew, food and drink selection,  seat comfort and inflight entertainment selection, the experience was 10 out of 10! I was seated in the upper deck of the A380 both ways, which can be an advantage. I look forward to a longer flight (Europe), with Emirates in the future. Keep up the good work!",10,30th January 2017,Australia
1166,"✅ Verified Review |  London to Dubai, my first experience with Emirates and I went in with some high expectations. At Heathrow we checked-in 3 hours in advance and it was very easy, however the staff didn't seem that engaging with the customer or enthusiastic, so I felt a bit dissatisfied. Check-in at the gate was also speedy considering the size of the aircraft. You get your passport checked before being called in for boarding. Again similar experience with the staff - no eye contact, no smile, and very low voice.  Boarding was well managed, my seat was on row 83. Very pleased with the seat size, legroom and overall cabin space. I consider myself to have long legs (183cm height) Food was excellent, metal cutlery and little details like chocolate and small snacks complement the meal well. The red wine was a highlight for me. Overall cabin experience was excellent including entertainment.",8,29th January 2017,United Kingdom
1167,"✅ Verified Review |  Gatwick to Perth via Dubai. Emirates do not care and customer service is a joke. I received a bland apology and they flatly denied I was booked in as vegetarian, something which I double checked as I booked through an agent. Unfortunately I was served vegan food, which was appalling. They tried to serve the same dreadful dishes twice on the same trip. Not the gourmet food promised on their website. The cabin crew did their best to rustle up something edible, but when I finally was served a vegetarian meal on the last flight of the trip - a meal which had been rejected by another passenger - it was a very hot, spicy chick pea meal with a raw chilli in it. Not everyone reacts well to hot spicy food and I am one of them. Dubai Airport is a disgrace - the customer service staff were surly and unhelpful. I was not advised that there was a business lounge nearer to my boarding gate, (the gate number was on the pass, so that would not have been difficult) resulting in a long, last minute dash to the gate. On the return flight, finding the correct lounge was nigh impossible, and I and another passenger had to ask a cleaner as no customer service staff were anywhere to be seen. The signage was inadequate. As for the Fast Track passes handed out on both the flights, these were meaningless and we were herded through with the rest of the passengers. A 15 minute (at least) bus ride from the plane to the terminal was the last straw. To summarise I paid three times the economy price for a lie flat bed and a few glasses of champagne. Not the exciting, wonderful experience promised by Emirates, and they are so big they really do not care.",2,28th January 2017,United Kingdom
1168,"✅ Verified Review |  A family trip from Jakarta to Jeddah via Dubai. Seat was okay while In-flight Entertainment was various. The screen from Jakarta to Dubai was more interactive as it was a newer type of screen, depends on which aircraft one'll fly with. Food had a middle-eastern style taste and it was unexpectedly good. Wi-Fi was available, but didn't check it out. On the other hand, staffs were curt. The use of ""please"" from staffs can be increased. On the bright side, everyone still did their job. In a nutshell, hospitality can be enhanced.",8,28th January 2017,Indonesia
1169,"✅ Verified Review |  Due to heavy fog at Gatwick on 23rd January I was unable to arrive into Gatwick from Copenhagen to make it to my Emirates flight. Most flights were delayed 7-8 hours on arrival in Gatwick. I explained this to Emirates without luck. Gatwick only had departures and not arrivals from 6am to 2pm that day. Emirates refused to put me on the next flight despite explaining that it was not my fault. As a result I lost 500 Euros and had to go back to Copenhagen, and my hotel bookings were lost. Holidays ruined by Emirates are not humane and they do not care about you! ",7,25th January 2017,Sweden
1170,"✅ Verified Review |  Very pleasant trip from Yangon to Manchester via Dubai. Pleased to see that there is a business class lounge in Yangon, shared with other airlines, as this is not mentioned on Emirates website. The lounge was very comfortable though with very limited food post-midnight. The cabin crew were very helpful on both legs of the journey and provided much better service on both legs than on recent trips. In particular, they accommodated a small bamboo stool (souvenir) that was marginally over the luggage dimensions though fitted OK into the larger overhead lockers (ground staff wanted to put it in the hold). They also greeted me by name on the DXB-MAN flight and offered to show me how all the seat / screen controls worked. The seats were very comfy on both the new Boeing 777 (RGN-DXB) and the older A380 (DXB-MAN). I asked to change my breakfast from Express to Continental and the cabin crew agreed immediately. The food is never exceptional on Emirates but it was tasty. The New Zealand Pinot Noir wine was excellent. The cabin crew were very attentive in bringing and removing towels / food and drink. I didn't manage to connect to wifi, though this sometimes depends which country we are over.",2,23rd January 2017,United Kingdom
1171,"✅ Verified Review |  Emirates was simply brilliant. I flew four flights with them in a week, London Heathrow to Mumbai via Dubai, returning from Delhi to London via Dubai, and all flights were perfect. The sector DEL to DXB was delayed as Delhi airport authorities decided to shut the airport for an hour due to national day preparations so we sat there for an hour meaning that the time at Dubai for connecting my onward flight was minimal. However Emirates pulled it out of the bag and I made my connecting flight and my bags were there at Heathrow as well! Despite flying economy my seat was comfortable with plenty of legroom, the entertainment was superb with thousands of films and TV programmes to watch and the food was fine. The flight attendants were friendly and efficient, especially those from Europe and South East Asia. I have no hesitation in flying with Emirates again.",10,23rd January 2017,United Kingdom
1172,"✅ Verified Review | Cape Town to Sydney via Dubai. Emirates has to be the worst airline I have ever travelled with. They state on your ticket that you are allowed 30kg of checked in baggage. However, when you check in this changes to two 23kg bags. Now because most passengers are over 23kg and are not in a position to buy a new bag at the airport, they let you ""get out"" of the dilemma by paying $75 (USA). Most passengers I met on board stated they had to pay this amount. When myself and the other passengers inquired about this amount to ground staff, we were all rudely told ""you need to read the fine print and that it a new Emirates policy"". I was also shouted at by the senior manager in Cape Town because I asked him to explain why this policy was in place. After we argued for almost 30 mins, he turned to the other ground staff and started laughing. They also ran out of food and I had to miss dinner despite paying for this service. Staff on board also don't seem to like their job as they don't respond to the assistance light and frequently forget what they told you. As a frequent traveller to all parts of the world, this is the worst airline I have ever flown. Emirates has become an arrogant airline which now seems to accept bad service and rude staff. I will never travel with them ever again.",4,20th January 2017,Australia
1173,"✅ Verified Review |  Gatwick to Brisbane via Dubai. Travelled on the evening flight from the UK, transitting Dubai mid morning with the Brisbane leg being a night flight. Good points - prompt chauffer service at both ends, good lounge at Gatwick with reasonable range of food, wide range of films and the entertainment system is available as soon as you board, heated towels at regular intervals, comfy seating with mattress topper for sleep, fast track security pass. Negatives - patchy on board service, untidy and tired looking plane on the Brisbane leg, lack of sleep suits. Major problem was the transfer at Dubai. Gatwick flight's arrival into Terminal A was delayed by over an hour due to fog. We then found that the Brisbane flight was leaving from Terminal B, a train ride away where the Business Lounge is much poorer than in A. Due to restricted time for transfer my wife did not use the shower facility, the gents was ok but tiny cubicle. Went to the Boarding Gate on time but plane was parked off stand on the other side of the airport. Bus transfer needed and chaos seemed to ensue. We were at least an hour in the lounge/queuing on the stairs - not acceptable for business customers. Plane was then delayed leaving Dubai and arrived at Brisbane about 2 hours late. This created issues with our ongoing transfer. We are hoping that our return to the UK in Feb will not suffer the same delays.",7,16th January 2017,United Kingdom
1174,"✅ Verified Review | Savannah to Cochin via New York JFK and Dubai. Emirates has collaborated with Jetblue to allow seamless transitions between continents. However, the Emirates website was not updated to include the courtesy layover package (visa on arrival / hotel) for the 14 hours we were forced to stay in the airport, waiting for our connection. We tried a lot to reason with the online customer service and ground staff but they refused to work around the issue. We were travelling with a 1 year old and it was a miserable 14 hours. After the long wait in the terminal, we had to board a 13 hour flight to New York which unnecessarily made our travel very hectic. There was an earlier flight to New York but ground staff refused. They were rude and belittling, likely due to lack of sensitivity training. They spoke broken English and got aggravated when asked to repeat. We expected them to take responsibility for the website flaw and treat our family with respect.",3,15th January 2017,United States
1175,"✅ Verified Review |  
Flew Emirates from Dubai to Mumbai. Frequent flyer with Emirates. Modern aircrafts with the best inflight entertainment and good meals. Dedicated terminal in Dubai with excellent facilities. Overall comfortable. Snobbish staff. Worst thing about this airline - Stingy on drinks on Dubai-Mumbai route. Almost all flights on Dubai-Mumbai routes are always delayed by 30 mins. Offers very expensive tickets on long routes compared to other airlines, taking advantage of being able to offer those routes non-stop.

",2,14th January 2017,United Arab Emirates
1176,"✅ Verified Review |  Pure nightmare. I travelled with a 4yrs old who has special needs. I was allocated a seat in the upper deck which is close to business class. My seat was changed a few minutes before boarding with this unbelievable reason “your child has autism so he can’t seat near the business area”! We were then moved to the lower deck to the end of the plane (from 27 to 87) where we could enjoy the toilet flushing sound throughout the 7hrs flight from Dubai to Birmingham. Not only that I was relying on my son’s pushchair as he gets tired walking long distance. They lost the first pushchair on the way to Dubai, texted me the next day and asked me to collect it, had to take taxi from Sharjah to Dubai, waited in the lost luggage office for hours to be told the text message was wrong and they haven’t yet found the pushchair. Ok, organized another pushchair and this was again lost on the way back to Birmingham. I have been calling their call center for the last 10 days, every time talked to a new person but same reply, “we will email Birmingham airport, they will get back to you”!  So far nothing has happened and I had to buy a new pushchair for my son. ",10,13th January 2017,United Kingdom
1177,"✅ Verified Review |  Bangkok to Dubai. I was worried about some of the negative reviews about Emirates at first. Fortunately, my new year's eve flight was one of the best I've ever had in years. Very friendly, hard-working and charming team of international crew, a medium load, free wifi for 10 mb, or only USD1 for 500 mb, all made for a great journey. Catering standard was better than average, a great choice of drinks and wine etc. The bar at the back of the upper deck is a must do. A lot of passengers went to sleep, I was having fun with the crew counting down to the new year, a first for me on the air! If ever there was one minor imperfection, that would be the dining table of my seat, which was badly designed in a way, when opened and folded down, it cuts almost into my stomach (I am stocky). Dining was not exactly comfortable with this fatal design fault. I took one mark off because of that. Otherwise, it's a perfect 10 from me.",10,11th January 2017,Hong Kong
1178,"✅ Verified Review |  Hyderabad to London via Dubai. After being advised that I could change my flight for my return journey, I managed to find a flight earlier and tried to pay for the ticket using my UK card, (for which I got charged for a failed transaction), Two credit cards from India and failed. There was money in the accounts but they couldn't take the money. I was advised to bring in cash to the airport on the day of travel. So I painstakingly managed to get 20,000 Rupees when currency was scarce in India and took it to the airport. The rude woman over the phone at the airport Emirates office just said she couldn't take my money because the call centre people didn't put the amount to pay on the ticket but it was confirmed conditionally? Didn't get that logic at all. So I had to call the call centre after putting some more credit as the average call time for a call to Emirates is a minimum of half an hour to an hour. Then the manager comes on the phone and directs me to someone else in the airport. I was due to fly at 9:20pm and hadn't paid for my ticket until 7:15 pm. I was scared to death as I had to report to work the next day.  The casual and careless attitude of the Emirates airport staff didn't help relieve the tension. Somehow after going through so many people and so many phone calls I have finally managed to pay for my ticket and nearly didn't get my change if I didn't impose on it. It has been an absolute nightmare journey with Emirates. ",8,9th January 2017,United Kingdom
1179,"✅ Verified Review |  My flight from Dublin to Hong Kong via Dubai was pleasant. The flight is good value for money, cheaper than flights that I used to go on that connect through Heathrow. I felt the service was standard and comparable to other airlines I have flown long haul. The journey is split into two 8 hours flights with a layover between. Due to the timing of the dinner and breakfast service, getting a long period of rest was difficult. They were slow to turn off the cabin lights to allow passengers to rest. In the past when I went through Heathrow I felt the crew were quicker to serve the first meal and served the last meal much closer to landing, maximising the rest period. And they were quicker to turn off lights. In my second leg from Dubai to Hong Kong, a child had vomited at the back of the plane by the lavatory. The crew seemed to struggle to come up with a way to deal with it but they improvised in the end. I would have thought vomit on the floor would have been something they had a procedure for.",1,8th January 2017,Ireland
1180,"✅ Verified Review |  Gatwick to Perth return via Dubai. Excellent level of service.  Modern, comfortable, clean aircraft. Approachable smiling cabin crew. High ratio to passengers in first class cabin. Lounge facilities in Dubai excellent. Only one question which applies to most airlines? Why do they allow infants in premium cabins. A 7 hour flight of having a non stop screaming baby is just not on.",7,7th January 2017,United Kingdom
1181,"✅ Verified Review |  Seattle to Thiruvananthapuram via Dubai.  I was travelling with my kids, which includes an infant. The staff on the flight from Seattle to Dubai were rude and non-cooperative. I requested for warm water to prepare some food for my kid and it was provided after 2 hrs even after me telling them in the first place that it is for the infant's meal. At the airport just before boarding they made a fuss about my one cabin baggage being 8 kg and wanted me to move the 1 kg to another bag even though the total weight of the baggage's were less than the allowed weight limit for 3 people.  I had requested special meals due to some dietary requirements. The tray was provided well before the meal was served to rest of the passengers. With a one year old how many hours can I handle the tray? On requesting the crew member to help me out by taking the tray the response was we cannot do it as we are serving other passengers. All of them responded in a very arrogant manner. The passenger who was sitting on the aisle seat was so accommodating that he agreed to switch seats with me seeing my plight. I had to go to the kitchen area to get warm water every single time with my little one. The screen in-front of my seat was not working. I just wanted it to be switched off. The crew member said it will be done in 5 minutes and that he will be back in 5 minutes. Apparently he came after 5 hrs. The airlines says that they take care of people who are travelling with kids which is not true. The other passengers (elder people) were so kind that they offered to hold the baby for a few minutes so that I can use the restroom. On our return flight, I had requested for gluten-free meal which was provided in the flight from TRV to Dubai but was denied on the flight from Dubai to Seattle stating that I had not made the choice, even though i had opted for it in all the flights to and fro. I do want to thank the crew on the flight from Dubai to Thiruvananthapuram who were helpful and accommodating. They helped me out without even requesting. They took care of the baby so that I could use the restroom and also made sure that the passengers travelling with kids had a comfortable pleasant flight.",2,7th January 2017,United States
1182,"✅ Verified Review |  It would seem to me that Emirates have spent all their money on advertising and celeb associations while overlooking the upkeeping of their planes or training their staff. My return flight London to Melbourne was one of the worst flight related experiences I've been through and a huge disappointment. One half of the entertainment screen on the first leg of the journey (LHR to DXB) was unresponsive so I gave up on trying to watch anything. The provided headphones are awful, and you can't use you own because of the archaic two ports stereo jack they work with. The food was simply awful on 4 of the 5 flight legs on my journey. Apart from the crackers and cheese, I ate next to nothing. Airport staff are incredibly slow at doing anything. Just one example: boarding our connecting flight in Singapore, they chose to guide all the 800 or so passengers onto the plane by having a junior member of staff hold boards with the boarding zones up. If you haven't been in the Singapore airport before, you'll probably not know that a huge part of the seating area at the boarding gate is behind the counter, so if you were sitting there, you couldn't see the boards at all, while another member of staff was trying to shout what zones were being boarded when. This confused a lot of people, that simply couldn't hear or see what was being announced. The worst is yet to come, as our return flight MEL to DXB was delayed by two hours due to fog on an earlier flight, this made us miss our connecting flights in Dubai. You'd think that, with such a big airline as Emirates everything would be fine as they surely have other flights to go onto. You would be wrong though, we were rebooked onto a flight the next morning, so 45 people on the London flight alone were stuck in Dubai for a full day. Again, staff were slow taking more than an hour to process the 10 of us in the queue.",9,6th January 2017,United Kingdom
1183,"✅ Verified Review |  Islamabad to Bologna via Dubai Before booking flight, I checked the ratings of all airlines because I wanted my mother to have a comfortable flight. I won't be using this airline again.  Flight was delayed for more than an hour due to bad weather which one can ignore. However, flight from Islamabad to Dubai was ok even though the airplane was not very clean. Staff was cooperative. But as soon as we landed in Dubai, we were like stranded. There was no counter or any staff to help us or guide us. The fellow passengers were helpful enough to guide us. We had 18 hrs connecting flight to Bologna. It took us more than a hour to find the Emirates counter regarding hotel room. My mother cannot walk a lot. Finally when we found the counter and asked for hotel room, Emirates staff was rude and denied us room. Finally, seeing condition of my mother I offered to pay for the room. Even then, the woman sitting on counter said her shift was over and she wont help us out; we should wait till after 5 (our flight landed in Duabi at 3:00PM). After waiting for almost an hour the Emirates took around 1100 Dirhams from us for one night stay (visa fee included). But all this process took around 4 hrs as we reached hotel at 7:30 PM , extremely exhausted. When we thought all that was bad was behind us, the flight to Bologna turned out to be even a worse experience. The air hostesses were not cooperative at all. The rating I give for Cabin Staff Service is only because of staff in flight from Islamabad to Dubai.",9,5th January 2017,Pakistan
1184,"✅ Verified Review |  Bangkok to Hong Kong. Purchased the ticket last minute due to sudden change of plan, approached check in desk 60 minutes before a supposedly 13:45 departure and was told off about being late. Once airside, boarding was not announced until 13:45 and flight departed at 15:00. There were many Emirates staff hanging around at the gate but no one bothered to make an announcement. Clearly Bangkok's gate holding lounges are not designed to accommodate a full load of A380 passengers and it was jam packed. No effort was made by the Emirates ground staff to separate passengers. Boarding at the beginning was a free flow until several very sultry ground staff restored order. Once on board, cabin crew was cold. The lady responsible for the area I sat in was very rude with people that do not speak fluent English when distributing the 'meal' (tasteless and cold curry chicken rice) and if you dare to ask her for something she does not have in the trolley (Diet Coke for example), the request would fall on deaf ear. Despite such rudeness, service was slow and inefficient. They only served the meal one hour after take off and barely managed to collect the trays at top of descent. Inflight entertainment was good and a saving grace so that you do not have to speak with the crew.",1,5th January 2017,Hong Kong
1185,✅ Verified Review |  Bucharest to Perth via Athens and Dubai. Booked online thinking they are a 'premium airline' that offers great all-round service and the flights they had would get us home a bit quicker than our usual airline so we took a chance. Booking went smoothly until we tried to select seats! Couldn't select first leg at all (understandable as with another airline and of course directed to that airline that didn't even recognise the booking!). Second leg booked seats together OK. But site wouldn't give access to third leg - Dubai to Perth. Kept trying and after day of trying got access. 5 seats left and none together! You have to be joking. Booking made as two people. So they get your money but then you can't even sit together. Absolute joke Emirates. Needless to say we won't ever use Emirates again. We will stick to our usual airline in future. Unfortunately I see many have the same issue with seat allocations. Should have done my research better.,5,5th January 2017,Australia
1186,"✅ Verified Review |  Paris to Kuala Lumpur via Dubai.I am disappointed with Emirates. The entertainment is excellent, the food is good, the seat is comfortable, the aircraft is clean, the staff are okay. My flight from Paris to Dubai was delayed 3 hours because of bad weather. The ground staff at Paris reassured us that we will be taken care of if we missed our connecting flight. We landed at Dubai at about 10.20 pm instead of the scheduled 9.40 pm. We need about 5-10 minutes to get off the plane and proceed to the transit area. There were 2 staff holding boards, for the Bangkok flight passengers and other destination. We checked the departure screen and read that our connecting flight was boarding. All of the Kuala Lumpur flight passengers ran to the gate, just to know that the flight had departed at 10.30 pm. We were very shocked. If it had waited 10 more minutes, all of the passangers would not be stranded at the Dubai airport, on new years eve. We were forced to queue at the ground office for hours to find our flight home. My family got lucky. We got our flight home after standing for 2 and a half hours. We were rerouted, flying from Dubai to Kuala Lumpur via Dhaka, using Bangladesh Airlines. We paid for Emirates, got Biman and extra trouble of tracing our baggage. Amazing way to start the year. I would be much grateful if the ground staff and the cabin staff had communicated better and at least some direction or guidance from the Emirates for the lost passengers. I would be happy to never fly with Emirates again.",2,4th January 2017,Indonesia
1187,"✅ Verified Review |  Birmingham to Male return via Dubai. Unfortunately Emirates has declined over the last few years, and now I try my best to avoid using them. I had problems both legs of the return journey. Firstly our flight got cancelled from Maldives which caused a lot of stress and losses (time and money). They gave some skywards miles as goodwill gesture which were worthless. I have been going back and forth with their customer affairs team but getting nowhere. On the second leg home the service was diabolical, never have I experienced such bad customer service. Emirates really need to sort out their customer service.",6,3rd January 2017,United Kingdom
1188,"✅ Verified Review |  Newcastle to Bangkok via Dubai. We always fly with Emirates when going to Thailand as usually the service is excellent. We boarded the flight at Newcastle and found our seats were not the ones I had booked back in March! I told a member of the cabin crew and she said she would get her supervisor that didn't happen! So when we arrived in Krabi minus our luggage because that was left in Bangkok due to the late arrival our our Dubai flight I emailed Emirates only to be told it could have been operational reasons we were bumped, but I feel really strongly that we are being fobbed off by them. Why bother giving you the option to book seats then move you anyway. What makes another passenger better than me and why should they get the seat I'd booked all those months in advance. I have since replied to them and asked the question again. I think the cabin crew are not as attentive as they used to be either. I know to some people the seat saga is petty but it's a big thing to me. All I hope is we get the seats we booked on our return flights. I will not say I won't fly with them again but it has made me think there maybe better airlines out there to try.",1,3rd January 2017,United Kingdom
1189,"✅ Verified Review |  Birmingham to Bangkok via Dubai. This was my first long haul flight, which I did alone so I was very apprehensive about luggage being transferred, reaching connections in time and the flight in general. I was pretty happy with everything overall. The seats were comfy, I ended up with a window seat with two empty seats next to me, which was great. The entertainment system was brilliant. Lots to choose from. The wifi didn't work too well, but that wasn't an issue. The staff were very polite and helpful, blankets, wet towels, warm towels, pillows and headphones all supplied. The food wasn't amazing but wasn't an issue either. The only thing I wasn't impressed with were the ground staff at Dubai. No one was particularly helpful when I asked about my luggage being transferred. Apart from that I was very happy with Emirates and I will definitely use them on my next trip to Thailand.",9,2nd January 2017,United Kingdom
1190,"✅ Verified Review |  Bangkok to London via Dubai. Emirates is one of our favourite airlines. We have flown economy with them several times to Asia as well as to South Africa. We like their service, find the seats comfortable and have never experienced problems with the excellent ICE system. I hardly ever sleep on planes and find it comforting to have so much good entertainment during the long flights. We like the food. We have always had good experience with check-in, boarding and disembarkment. So when I had an accident during our last trip to Thailand and broke my ankle, I was fitted with an Aircast so that I could fly home. My insurance was taking care of everything but the one thing they refused, no matter how many times I asked or even with a written statement from my doctor, was to upgrade my husband so that he could be by my side during the long and uncomfortable journey home. I was unable to walk unaided and therefore needed personal assistance. I was upgraded to Business Class, which would have been a great experience under any other circumstances. As it was I daren't eat or drink much of what was on offer (all looked delicious) out of fear of being caught short bathroom wise. The Bangkok to Dubai leg in Business Class was full admittedly, but the Dubai to Gatwick leg was only half occupied. Rather petty to insist my husband sits downstairs leaving his injured wife on her own upstairs. Come on Emirates, you could have done better.",3,31st December 2016,United Kingdom
1191,"✅ Verified Review |  My mother was flying from Rome to Melbourne via Dubai. Being an elderly person she can't walk for too long and she can't speak English, therefore we requested assistance with wheelchair access, which was all confirmed. However when she arrived in Dubai, my mother was left unattended, no one picked her up, no one gave her instructions, she had to make her own way to the next terminal fearing she wasn't able to make it, and we all know how big Dubai Airport is. She arrived in Melbourne exhausted and very stressed because of what happened to her in Dubai. She's an elderly women and very anxious to go back home in February, because she is fearing she could be left alone in Dubai again. I'm very disappointed about this event. ",7,31st December 2016,Australia
1192,"✅ Verified Review |  Flew with Emirates from Athens to Cebu via Dubai for our Christmas holidays. All four flights were on Boeing 777-300ER. Three out of four were on dated aircraft, the touchscreen small and the 3x4x3 seat configuration made the flights unpleasant. On the other side, the ICE system was excellent, with a great selection of movies, documentaries and games.The food was above average. The FA's were efficient, very helpful and with a smile. On the outbound flight, we had a 9 hour layover in Dubai, so the airline provided us a free hotel at the in Copthorne airport hotel, just 5 mins drive from the airport, with breakfast included. I coose Emirates because it was the airline with a straight flight to Cebu from the Gulf without a layover in Manila. I would recommend Emirates, but i think Qatar Airways is a better choice.",9,31st December 2016,Greece
1193,"✅ Verified Review |  Manchester to Dubai. Having flown before with Emirates and on the A380 business class this was our choice for our family holiday. On being shown our seats (very last ones in front of the bar) we noticed the ICE system wasn't working. We pointed this out and the crew said they needed to reboot it - this was done on take off but failed and wiped out more screens! As it was the night flight we decided just to sleep but to our horror the bed didn't work. This was sorted out but we were left with no ICE system. Staff said they'd report it and contact customer service when back home. The response was simple, no refund and we were offered some air miles! Not good service.",1,29th December 2016,United Kingdom
1194,"✅ Verified Review |  I took a first class ticket Dubai to Kuwait, but overall I was disappointed with the experience. First, my chauffeur driver never informed the hotel that he was waiting for me outside as I instructed EK to do so via my telephone conversation in Dubai. I had no idea he was waiting for me outside. The first class check-in experience was not as tremendous as I anticipated. Basically there was attention given to me, but I never felt like a first class passenger. They let me check-in in the express check-in counter as opposed to the first class counter. The food and service provided in the first class lounge in concourse A is unacceptable. Not only was the food tasteless, but it takes a very long time to prepare something for me from a la carte menu. For example, it took approximately 10 - 15 minutes to provide me my club sandwich, and 15 - 20 minutes to provide me the ""um ali"" sweet. All this while the lounge was empty. While I was waiting for my food the waiter asked me what I wanted to drink and I told him water, he kept goofing around and I chased him until he gave me my water. This is unacceptable for first class service. During boarding business class passengers entered door 1A with us as opposed to door 2A, thus ruining the exclusive experience of first class. Upon disembark, business class passengers were trying to skip queue and leave the aircraft before first class passengers do.  I will not be flying Emirates first class again and will look for alternatives such as Qatar Airways.
",1,27th December 2016,Kuwait
1195,✅ Verified Review |  Mumbai to London via Dubai. Wasn't the greatest experience with Emirates - check in was a headache. We were 8 kilos overweight between two of us and they charged us for the excess. Boarding was fine and seats comfortable but they feel a little claustrophobic. The staff were good. My wife was charmed by her attendant but I got the feeling my attendant thought she was doing me a favour by serving me. It doesn't cost any thing and takes minimal effort to smile when talking to a customer. Meals were only served within a timeslot so you couldn't eat when you wanted to and weren't really up to expectations. The champagne wasn't served cold enough. I had to return 3 glasses and in the end I went to the bar myself to make sure. The bar itself was a bit of a disappointment but maybe we were too tired to appreciate it. The seat has an area with a selection of soft drinks which you can access yourself. Unfortunately its protective frame needed two arms to prise up and then the drinks weren't cold so I had to call for ice. The entertainment system was a bit tricky to operate and took a little while to work the IFE. The upper deck of business class probably had 100 passengers in total and felt a little overwhelming.  I felt that there were not enough attendants for the number they were taking care of. There were 4 loos between us but the loos were just a bit larger than the economy toilets and disappointing. I couldn't use one because it was too messed up. When we landed no attendant offered to help my wife with her luggage from the overhead locker but it was nice to have our own upper deck exit way. On reading through this I do sound a bit like a spoiled brat and complaining over small things. But if some airlines can get these right so why not Emirates? The entire business and first class were sold out on every leg we travelled so they have plenty of customers who are happy with Emirates product.,1,26th December 2016,United Kingdom
1196,"✅ Verified Review |  This was the 2nd leg of our journey from Gatwick to Ho Chi Minh City with Emirates, the first having been on a A380. We arrived in the morning local time and left in the morning local time. The food on the first leg was ok - not brilliant, but not awful just average. When we got on the next flight we were served a seafood lunch, at 9 am (ish) local time or 6 am as per our body clocks. Needless to say it remained untouched. Can't fathom why a lunch was served so early in the day. The bus from terminal to plane was extraordinarily long and seemed to take for ever but was most definitely at least 20-25 mins. The aircraft itself was definitely very dated and the seats far from the best. All in all it was a distinctly average experience and isn't likely to encourage us to use Emirates in the future. Having said all of that it was relatively cheap for Business class so I guess in this instance you sort of get what you pay for. (Best food to date was on ANA, best seats on Qantas A380)",2,25th December 2016,United Kingdom
1197,"✅ Verified Review |  San Francisco to Kolkata via Dubai. Dubai happens to be a great midpoint between San Francisco and India and is also a nice city. I have flown many times with Emirates business class from SFO to India, via Dubai. however my last flight with them in September was the worst and that is what this review is about.  Really bad food on the flights - so much so that for much of the flight I stayed hungry. I am not particularly finicky about food. This is not an issue with Dubai to India (shorter flight) but a real issue for SFO to DXB. On this occasion I swapped my Business class seat with my wife's economy class. Extremely rude staff, started an argument whether I can visit my wife in business class. This was lodged as a complaint with Emirates but I did not hear anything in the last 3 months. So rude staff, and ineffective management that does nothing even on feedback. Wife was pregnant and unwell, threw up on the flight in the Business class seat and requested that I be called from the economy section for a few minutes. The confused staff bumbled around for a few minutes and did nothing.  ",1,24th December 2016,United States
1198,"✅ Verified Review |  New York to Chennai via Dubai. Went in with great expectations, but it was an average experience. Flight from JFK to Dubai was okay but the flight from Dubai to Chennai was worse. IFE was not so responsive and did not have extensive collection. Food was just okay (opted for asian vegetarian). I am a pure vegetarian and I pre ordered it while booking tickets. But crew told vegetarian meal was not available when coming to me and then I have to argue with them to get my vegetarian meal. Overall average experience for a world class airline - I had been in Qatar Airways before and it was way better.",1,23rd December 2016,United States
1199,"✅ Verified Review |  I recently traveled from Singapore to New York Via Dubai on Emirates. This was my third time flying with Emirates, and the service did not change. The cabin crew was very attentive and helpful. The ICE entertainment system is still one of the best airline entertainment systems. Economy class in the A380 is one of the best aircraft when it comes to economy travel. Very spacious and comfortable. The food was excellent, and the presentation was traditional but effective. I would recommend Emirates.",1,22nd December 2016,United States
1200,"✅ Verified Review |  I flew from London Gatwick to Brisbane via Dubai, returning via Singapore and Dubai. My flight from Gatwick to DXB was extremely pleasant, entertainment was great, the A380 was excellent. Food was great as well, I cleared all the meals. The disappointing part of the journey were the cabin crew, they just didn't seem available and welcoming. They just seemed to be very tired and were too much involved and busy in chatting among themselves. Overall this leg was great, apart from the cabin crew. DXB to BNE was even worse in that field, the flight was already very long, which was stressful enough. I had a massive headache, and when I consulted one member of the cabin crew (she was a supervisor), she just told me to go back to my seat and watch movies, as they offered lots of choice. And that annoyed me, I thought cabin crew were supposed to be of support during a flight. The return flights from BNE to SIN, SIN to DXB were excellent, and even the crew were excellent and seemed professional and friendly. No comment on the DXB to LGW flight as it was well packed, so the cabin crew were busy - other than that I slept the whole flight so can't say much.",4,22nd December 2016,United Kingdom
1201,"✅ Verified Review |  I buy ticket and confirm to travel from Dubai to Bangkok. My fly departure is 11:45am and I reach the counter 10:10am where the staff inform me the flight is full and I need to get next flight?  How is it full when I have ticket confirmed. I talk with supervisor who says sorry you can't to get this fly, you can go on next flight and will give you free ticket for 1 year or refund money. I infom him I came to the counter before it closes and again he says sorry we cant help you. You buy ticket and is confirmed but they delay you to next flight - no more trust with Emirates.",7,20th December 2016,United Arab Emirates
